# Bin Centers, dN/dlogD (avd)
5.964350844811193753e+01,1.704484824752029581e+01
6.142833385336118823e+01,1.423684005750294190e+01
6.326316463788387523e+01,1.393294368472009381e+01
6.515785447664771368e+01,1.362914464506906498e+01
6.711269850035833429e+01,1.343806747637018795e+01
6.912247463741442743e+01,1.286090212704844227e+01
7.119225730372650673e+01,1.259612489749400410e+01
7.332204647989578916e+01,1.226729934290932889e+01
7.551184211764403642e+01,1.228742803416767693e+01
7.777149799251651530e+01,1.220043080267617874e+01
8.010130897806853056e+01,1.188412228440691365e+01
8.250097999417945971e+01,1.190245504384289355e+01
8.497573300654723027e+01,1.175532258335265823e+01
8.752049360007060841e+01,1.175722465938652839e+01
9.013526169041725211e+01,1.151629039003369570e+01
9.282989119890208940e+01,1.155216636974279965e+01
9.560960359712825607e+01,1.153843808967357987e+01
9.846932466509558424e+01,1.148988138682740789e+01
1.014139812846335360e+02,1.153152245862315084e+01
1.044535743763706819e+02,1.152830134721783217e+01
1.075882516820493748e+02,1.148937710421112968e+01
1.108080118944474179e+02,1.180246390206871787e+01
1.141225613101984209e+02,1.128749228338175747e+01
1.175372689830761743e+02,1.130893798775846903e+01
1.210567668492761300e+02,1.116036512379212020e+01
1.248292185347645358e+02,1.096584333263854383e+01
1.288587738572736896e+02,1.089404980387116240e+01
1.330181867264773814e+02,1.061152142151932409e+01
1.373176172237197079e+02,1.038560193741591497e+01
1.417570654323797896e+02,1.041566548883878696e+01
1.463316100505970780e+02,1.007732830829112380e+01
1.510558558944339609e+02,9.867304591359394195e+00
1.559353596847103915e+02,9.880915408771832276e+00
1.609696446538912085e+02,9.792414456981532567e+00
1.661739510272292932e+02,9.527933433438994015e+00
1.715433577845554396e+02,8.786946753280769684e+00
1.771219918587186442e+02,8.737562805728503079e+00
1.824828759089465962e+02,8.583924355632010617e+00
1.879760623058159581e+02,8.589232118433789864e+00
1.944685064477022252e+02,8.604655776331314954e+00
2.009776106933307176e+02,8.651941126414337546e+00
2.073229365024526203e+02,8.601959174370987782e+00
2.138267990687790245e+02,8.540164870976070688e+00
2.204722204723307186e+02,8.513476631709153253e+00
2.279649095804001036e+02,1.188822865847570931e+01
2.352423431272524965e+02,8.084925727264590023e+00
2.418469377519591319e+02,7.535370269927369691e+00
2.486163403720680662e+02,7.328942209930787044e+00
2.555706915904090977e+02,7.197543305697511329e+00
2.627199923873324110e+02,7.156544042018620821e+00
2.700742436812514597e+02,6.991012033161479344e+00
2.776335835233194302e+02,6.939395002654626943e+00
2.853978738533277806e+02,6.845789543234887198e+00
2.933820471671707537e+02,6.523998581495320082e+00
3.015962423505969241e+02,6.767577521302520438e+00
3.100404594565038678e+02,6.779314941586133791e+00
3.187146984373328564e+02,6.675687195715233280e+00
3.276288222974285418e+02,6.508826368649268446e+00
3.367979014186400946e+02,6.043941891764560204e+00
3.462220738196800767e+02,5.730467973664843839e+00
3.559110644529051228e+02,5.728878422882456078e+00
3.658702187934950985e+02,5.414562621338990134e+00
3.761091237925503492e+02,5.285732955780353848e+00
3.866332629249583874e+02,5.010826296947123559e+00
3.974520851624758961e+02,4.953007275185411729e+00
4.085810749410696872e+02,3.930046949341853946e+00
4.200100932120560060e+02,4.355830617334891741e+00
4.317539345506882569e+02,4.002225028308664001e+00
4.438376702128831539e+02,3.659982347168499128e+00
4.562615762914953166e+02,3.505537079823044522e+00
4.690303081891403849e+02,3.290302157612525757e+00
4.821541428837877561e+02,3.023139213920260637e+00
4.956428053548240769e+02,2.853746244037813629e+00
5.095164354562078302e+02,2.649080824746587126e+00
5.237751712328487201e+02,2.448841725608282616e+00
5.384336690809741413e+02,2.386029888766573404e+00
5.535023439878100362e+02,2.165956771223396693e+00
5.689907828778951853e+02,1.985973605416296417e+00
5.849143321889112030e+02,1.861735236928473425e+00
6.012827168645378606e+02,1.772453934503050998e+00
6.181111453452364231e+02,1.744095604113758746e+00
6.354094805713871210e+02,1.594743130271719656e+00
6.531927929792244640e+02,1.557068172049202781e+00
6.714710835173767691e+02,1.504213314854608630e+00
6.902642160796110602e+02,1.306596439519942976e+00
7.095824676526331132e+02,1.070627524936620611e+00
7.294355631582545811e+02,9.540987842557424603e-01
7.502922743171490083e+02,7.938164620099156243e-01
7.730916401048455100e+02,7.359134960085513821e-01
7.988808171435837266e+02,7.924064047370876773e-01
8.279095602781742400e+02,8.305818707425026703e-01
8.589792401449525414e+02,9.607933728638327064e-01
8.901922348571683870e+02,1.313698048302305965e+00
9.204154545638616582e+02,1.660426520746539847e+00
9.494736711989437481e+02,1.443044855692623862e+00
9.771967530134347726e+02,8.283272375397753295e-01
9.999575870505708508e+02,4.535573161898077132e-01
1.015619645684347802e+03,2.409947316679276197e-01
1.025608873401551818e+03,1.212431414604164537e-01
